strategy_id,strategy_label,model_mode,event_date,event_key,match,tournament,tournament_round,surface,tournament_level,match_type,score,score_family,odds_bucket,model_probability,bookmaker_odds,edge,expected_value,won,setfox_passed_default,actual_first_set_score,actual_score_source,actual_score_confidence,actual_score_status,actual_score_notes
setfox_strict,SetFox Strict,independent,2025-01-21,12008643,I. Ivashka vs G. La Vela,M15 Monastir 3,M15 Monastir 3 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,1-6,API-Tennis,high,resolved,matched by event_key 12008643; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-21,12008662,S. Parker vs M. Pawelski,M25 Sunderland,M25 Sunderland - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12008662; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-21,12008674,J. Defalco vs L. Zoppas,W15 Monastir 3,W15 Monastir 3 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12008674; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-22,12009041,U. Blanch vs F. Mazzola,M15 Monastir 3,M15 Monastir 3 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-1,API-Tennis,high,resolved,matched by event_key 12009041; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-22,12009038,B. Djuric vs M. Fondriest,M15 Monastir 3,M15 Monastir 3 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,true,true,4-6,existing row,high,resolved,won=true means selected score is actual first-set score
setfox_strict,SetFox Strict,independent,2025-01-22,12009051,J. Engel vs B. Butulija,M25 Nussloch,M25 Nussloch - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,3-6,API-Tennis,high,resolved,matched by event_key 12009051; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-22,12008827,N. Budkov Kjaer vs C. Vandermeersch,M25 Esch/Alzette,M25 Esch/Alzette - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12008827; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-22,12008838,G. Hussey vs B. Mott,M25 Sunderland,M25 Sunderland - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12008838; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-23,12009232,U. Blanch vs J. Leather,M15 Monastir 3,M15 Monastir 3 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12009232; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-23,12009226,Y. Demin vs I. Almazan Valiente,M15 Manacor 3,M15 Manacor 3 - 1/8-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,7-5,API-Tennis,high,resolved,matched by event_key 12009226; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-23,12009230,D. Sarksian vs A. Soriano Barrera,M15 Manacor 3,M15 Manacor 3 - 1/8-finals,hard,itf,singles,6-4,normal,odds_12_18,0.069702559033664,17,0.010879029621899294,0.18494350357228795,false,true,3-6,API-Tennis,high,resolved,matched by event_key 12009230; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-23,12009235,M. Barreiros Reyes vs B. Malla,M15 Santiago 2,M15 Santiago 2 - 1/8-finals,clay,itf,singles,6-4,normal,odds_12_18,0.08722978024620966,12,0.003896446912876328,0.046757362954515935,false,true,1-6,API-Tennis,high,resolved,matched by event_key 12009235; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-23,12009239,F. Ribero vs B. Kuzuhara,M15 Santiago 2,M15 Santiago 2 - 1/8-finals,clay,itf,singles,6-4,normal,odds_12_18,0.08722978024620966,12,0.003896446912876328,0.046757362954515935,false,true,4-6,API-Tennis,high,resolved,matched by event_key 12009239; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-24,12009372,S. Shapatava vs C. Gasparovic,W15 Antalya 3,W15 Antalya 3 - Quarter-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12009372; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-24,12009409,C. Tabur vs F. Romano,M15+H Bagnoles de l'Orne,M15+H Bagnoles de l'Orne - Quarter-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,true,true,4-6,existing row,high,resolved,won=true means selected score is actual first-set score
setfox_strict,SetFox Strict,independent,2025-01-24,12009381,M. Basic vs C. Cordoba,M15 Antalya 3,M15 Antalya 3 - Quarter-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12009381; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-24,12009415,N. Kicker vs F. Cavallo,M15 Santiago 2,M15 Santiago 2 - Quarter-finals,clay,itf,singles,4-6,normal,odds_12_18,0.1701461271843626,15,0.10347946051769592,1.552191907765439,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12009415; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-24,12009373,J. Defalco vs K. Zaytseva,W15 Monastir 3,W15 Monastir 3 - Quarter-finals,hard,itf,singles,6-4,normal,odds_12_18,0.069702559033664,15,0.0030358923669973337,0.04553838550496003,false,true,7-5,API-Tennis,high,resolved,matched by event_key 12009373; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-25,12009536,E. Guerrero Alvarez vs J. Defalco,W15 Monastir 3,W15 Monastir 3 - Semi-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,6-4,API-Tennis,high,resolved,matched by event_key 12009536; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-28,12010218,M. Gonzalez Fernandez vs I. Almazan Valiente,M15 Monastir 4,M15 Monastir 4 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12010218; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-28,12010079,E. Milovanovic vs Y. Chen,W15 Monastir 4,W15 Monastir 4 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-1,API-Tennis,high,resolved,matched by event_key 12010079; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-28,12010217,L. Potenza vs E. Clark,M15 Monastir 4,M15 Monastir 4 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,13,0.1257895570042076,1.6352642410546987,false,true,6-3,API-Tennis,high,resolved,matched by event_key 12010217; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-28,12010064,L. Esquici vs T. Meneo,M15 Huamantla,M15 Huamantla - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,12,0.1193793005939512,1.4325516071274143,false,true,5-7,API-Tennis,high,resolved,matched by event_key 12010064; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-29,12010045,Y. Naito vs E. Haavisto,W15 Antalya 4,W15 Antalya 4 - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,17,0.14388910451551984,2.446114776763837,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12010045; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-29,12010034,J. Nikles vs M. Statham,M15 Zahra,M15 Zahra - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12010034; first-set score from fixture.scores[set=1].score_first/score_second
setfox_strict,SetFox Strict,independent,2025-01-29,12010410,D. Kellovsky vs I. Gretskiy,M25 Antalya,M25 Antalya - 1/16-finals,hard,itf,singles,4-6,normal,odds_12_18,0.20271263392728453,15,0.13604596726061785,2.040689508909268,false,true,6-2,API-Tennis,high,resolved,matched by event_key 12010410; first-set score from fixture.scores[set=1].score_first/score_second
