strategy_id,strategy_label,model_mode,event_date,event_key,match,tournament,surface,tournament_level,match_type,score,score_family,odds_bucket,model_probability,bookmaker_odds,edge,expected_value,won,setfox_passed_default
"setfox_strict","SetFox Strict","independent","2025-05-08","12032536","L. Tanasie vs C. Raschdorf","W15 Bucharest 2","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-08","12032455","G. Hussey vs P. Brady","M25 Nottingham 2","grass","itf","singles","4-6","normal","odds_12_18","0.21391749146307765","13","0.13699441454000072","1.7809273890200092","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-08","12032459","E. Malygina vs A. Brune","W15 Kalmar","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-09","12032744","G. Hussey vs L. Rossi","M25 Nottingham 2","grass","itf","singles","4-6","normal","odds_12_18","0.21391749146307765","17","0.15509396205131293","2.63659735487232","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-09","12032791","E. Malygina vs C. Blomqvist","W15 Kalmar","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-09","12032876","D. Martin vs R. Rodriguez","M15 Villahermosa","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-09","12032689","M. Haliak vs J. Kubler","M25 Baotou","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","17","0.010879029621899294","0.18494350357228795","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-10","12032931","D. Astakhova vs A. Stankovic","W15 Kursumlijska Banja 3","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-10","12032873","C. M. Aguilar J. vs J. Flores","M15 Villahermosa","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12","0.1193793005939512","1.4325516071274143","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-10","12032878","R. Jauregui Sainz De Rozas vs A. Hernandez","M15 Villahermosa","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","15.5","0.005186430001405937","0.0803896650217919","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-12","12033203","J. Cabaj Awad vs C. Ferrer Perez","W15 Monzon","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","true","true"
"setfox_strict","SetFox Strict","independent","2025-05-12","12033328","R. Ccuno vs N. Sousa Salazar","W15 Trelew","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12","0.1193793005939512","1.4325516071274143","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-12","12033325","P. Lopez vs C. McNeil","W15 Trelew","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","15","0.0030358923669973337","0.04553838550496003","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-13","12033346","M. Chen vs L. Xiao","W15 Maanshan 3","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-13","12033514","D. Masur vs L. Parenti","M25 Reggio Emilia","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-13","12033518","A. Bakshi vs A. Chekhov","M25 Tbilisi","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-13","12033522","J. Monday vs N. Tajima","M25 Tbilisi","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-13","12033564","M. Laron vs P. Skopintseva","W15 Tsaghkadzor","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-14","12033735","P. Paukstyte vs L. Plaza Araujo","W15 Monastir 19","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-14","12033714","M. Hopp vs D. Petrovic","M15 Prijedor","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-14","12033727","M. Stankiewicz vs L. Mair","W15 Bucharest 3","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-14","12033833","D. Ivanova vs D. Evtimova","W15 Orlando, FL","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-14","12033875","S. Rodriguez Taverna vs F. Ribero","M25 Xalapa","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-15","12034334","T. Huang vs Z. Mingzhou","M15 Luan 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-15","12034455","B. Djuric vs B. Butulija","M15 Kursumlijska Banja 3","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-15","12034485","T. Zink vs D. Bobo","M25 Pensacola, FL","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-15","12034622","S. Kozlov vs A. Nefve","M25 Xalapa","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-15","12033926","R. Zolotareva vs D. Koreshkova","W15 Tsaghkadzor","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-16","12034350","J. Monday vs K. Uchida","M25 Tbilisi","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-16","12034646","J. Cui vs Y. Kikuchi","M15 Luan 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-16","12034755","F. Iannaccone vs J. Schlageter","M25 Reggio Emilia","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-16","12034639","A. Perez vs O. Moraing","M15 Heraklion 5","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12.2","0.12074542081253042","1.4730941339128711","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-16","12034761","Z. Pawlikowska vs M. Hageman","W15 Kotka","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12","0.1193793005939512","1.4325516071274143","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-17","12034931","E. McDonald vs V. Bhunu","W15 Monastir 19","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-17","12034859","V. Bielinskyi vs D. Obradovic","M15 Prijedor","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-17","12034929","R. Peniston vs M. Damm","M25 Tbilisi","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-17","12034826","M. McKennon vs J. C. Prado Angelo","M25 Xalapa","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","15","0.0030358923669973337","0.04553838550496003","true","true"
"setfox_strict","SetFox Strict","independent","2025-05-17","12034921","M. Summers vs L. Poullain","M15 Heraklion 5","hard","itf","singles","6-4","normal","odds_12_18","0.069702559033664","15","0.0030358923669973337","0.04553838550496003","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-18","12034990","S. Kozlov vs M. McKennon","M25 Xalapa","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-18","12035096","L. Hietaranta vs D. Demidova","W15 Kursumlijska Banja 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13.7","0.12971993319735753","1.777163084803798","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-18","12035097","M. Crossley vs F. Pace","W15 Orlando, FL","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","12","0.1193793005939512","1.4325516071274143","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-19","12035342","L. E. Ambrogi vs N. Villalon","M25 Coquimbo","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","true","true"
"setfox_strict","SetFox Strict","independent","2025-05-20","12035501","S. Cuenin vs N. Jovic","M15 Kursumlijska Banja 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-20","12035511","H. Matsuoka vs G. Calvano","M25 Bol","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-20","12035518","S. Vincent Ruggeri vs D. Bagnolini","M25 Cervia","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-20","12035502","J. Klimas vs J. Bjelobrk","M15 Kursumlijska Banja 4","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","15","0.13604596726061785","2.040689508909268","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-20","12035490","C. Cretu vs K. Wehnelt","M15 Bucharest 3","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","13","0.1257895570042076","1.6352642410546987","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-21","12035668","A. Perez vs P. Marinkov","M15 Heraklion 6","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-21","12036002","N. Ciavarella vs E. Matikainen","M15 Kotka","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
"setfox_strict","SetFox Strict","independent","2025-05-21","12036020","S. Tange vs S. Chen","M15 Luan 5","hard","itf","singles","4-6","normal","odds_12_18","0.20271263392728453","17","0.14388910451551984","2.446114776763837","false","true"
