date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-02,Home/Away (1st Set),slam,Away,J. Sinner vs A. Bublik,4.1575,0.0368,1xBet,4.34,0.0439,false
2025-09-02,Home/Away,slam,Home,J. Lehecka vs C. Alcaraz,12.7642,0.0236,Marathon,11.25,-0.11863,false
2025-09-02,Home/Away,slam,Away,J. Lehecka vs C. Alcaraz,1.085,0.0236,Unibet,1.07,-0.01383,true
2025-09-02,Home/Away (1st Set),slam,Home,J. Lehecka vs C. Alcaraz,5.225,0.0306,1xBet,5.05,-0.03349,false
2025-09-02,Home/Away (1st Set),slam,Away,J. Lehecka vs C. Alcaraz,1.2367,0.0306,Marathon,1.22,-0.01349,true
2025-09-02,Home/Away,slam,Home,A. Anisimova vs B. Haddad Maia,1.29,0.032,10Bet,1.28,-0.00777,true
2025-09-02,Home/Away,slam,Away,A. Anisimova vs B. Haddad Maia,4.448,0.032,bet365,4,-0.10072,false
2025-09-02,Home/Away (1st Set),slam,Home,A. Anisimova vs B. Haddad Maia,1.3965,0.0268,10Bet,1.38,-0.01182,true
2025-09-02,Home/Away (1st Set),slam,Away,A. Anisimova vs B. Haddad Maia,3.5221,0.0268,WilliamHill,3.4,-0.03466,false
2025-09-02,Home/Away,slam,Home,J. Pegula vs B. Krejcikova,1.4157,0.0258,1xBet,1.39,-0.01813,true
2025-09-02,Home/Away,slam,Away,J. Pegula vs B. Krejcikova,3.4058,0.0258,Betano,3.4,-0.0017,false
2025-09-02,Home/Away (1st Set),slam,Home,J. Pegula vs B. Krejcikova,1.5435,0.029,1xBet,1.5,-0.02817,true
2025-09-02,Home/Away (1st Set),slam,Away,J. Pegula vs B. Krejcikova,2.84,0.029,Betano,2.85,0.00352,false
2025-09-03,Home/Away,slam,Home,N. Djokovic vs T. Fritz,1.5175,0.0253,Betano,1.53,0.00825,true
2025-09-03,Home/Away,slam,Away,N. Djokovic vs T. Fritz,2.9324,0.0253,Marathon,2.83,-0.03493,false
2025-09-03,Home/Away (1st Set),slam,Home,N. Djokovic vs T. Fritz,1.6792,0.0302,1xBet,1.64,-0.02333,true
2025-09-03,Home/Away (1st Set),slam,Away,N. Djokovic vs T. Fritz,2.4724,0.0302,188bet,2.38,-0.03737,false
