date,match,tournament,firstSet,leg36,leg46,leg57,dutch,overround,outcomes,won
2026-04-20,M. Ivantsiv vs E. Pridankina,Oeiras 4 (Portugal) - Qualification,1:6,6.6,17,32,4.139266774267927,1.2923406025014597,14,false
2026-03-16,A. Aksu vs A. Sasnovich,Miami,4:6,6,6.8,13,2.55984555984556,1.222793053248952,14,true
2026-07-06,S. Fomin vs M. Dhamne,Liege (Belgium) - Qualification,3:6,7,7.2,15,2.8701594533029615,1.2545116257885267,14,true
2026-07-13,M. Houkes vs D. Jorda Sanchis,Bunschoten,6:3,7.5,6.7,15.5,2.880987608655447,1.2522063258708307,14,false
2026-07-20,E. Gorgodze vs A. Mintegi Del Olmo,Palermo,7:6,7.5,8,15,3.0769230769230775,1.1775785976094324,14,false
2026-06-15,N. Borges vs F. Auger-Aliassime,Halle,3:6,6.4,5.5,19,2.5595101415996937,1.0517897897596038,14,true
2026-06-22,Y. Milev vs O. Milic,Plovdiv (Bulgaria) - Qualification,2:6,5.5,6.3,13,2.395373570858814,1.3207433288938863,14,false
2026-03-16,S. Hunter vs R. Masarova,Miami,2:6,6,7,14,2.625,1.2257925917610102,14,false
2026-07-13,A. Santamarta Roig vs M. Schoenhaus,Bunschoten,5:7,6.1,8,14,2.7749796913078795,1.1303832532211209,14,true
2026-07-20,L. Gjorcheska vs E. Andreeva,Palermo,2:6,7,7.3,13.5,2.8255171001433546,1.1909263806721306,14,false
2026-06-15,J. Pinnington Jones vs D. Shapovalov,London,4:6,6.2,8.25,21,3.0291878172588835,1.034196780147913,14,true
2026-06-22,L. Castelnuovo vs F. Agamenone,Targu Mures,3:6,5.15,6.5,13,2.353251318101933,1.2049966310829667,14,true
2026-05-18,M. Dhamne vs M. Krueger,Cervia (Italy) - Qualification,3:6,7,6.55,15,2.760939381774388,1.23419469471051,14,true
2026-03-16,W. Osuigwe vs D. Vekic,Miami,4:6,6,6.4,13,2.5010020040080163,1.2263174998040052,14,true
2026-07-06,A. Barroso Campos vs G. Dalmasso,Nottingham 4,6:3,18,6.8,17,3.8249999999999997,1.0517258074873936,14,false
2026-07-13,F. Agamenone vs A. Barrena,Cordenons,7:6,6.6,6.45,15,2.6793806646525677,1.2452178233781246,14,false
2026-06-15,Q. Zheng vs M. Sakkari,Nottingham,4:6,9.5,10,23,4.020239190432383,1.0246415680579313,14,true
2026-06-22,C. Cretu vs A. Santillan,Targu Mures,6:4,10.5,11,19.5,4.211781206171108,1.1767550614812279,14,false
2026-05-18,B. Gadamauri vs C. Cretu,Cervia (Italy) - Qualification,6:4,7,6.65,15,2.7785515320334264,1.2487227369650158,14,false
2026-04-20,H. Barton vs D. E. Galan,Savannah,6:2,9,8.25,19,3.5093283582089554,1.2310616268037988,14,false
2026-03-16,E. Seidel vs M. Stakusic,Miami,6:4,5.75,7.5,13.7,2.6299243267304697,1.2137262198654781,14,false
2026-07-06,C. Chidekh vs M. Janvier,Nottingham 4,4:6,9.7,9.4,23,3.953287588599005,1.3597799779005113,14,true
2026-06-15,M. Joint vs Y. Starodubtseva,Nottingham,7:6,8,6.3,17,2.9192504258943783,1.0365969356298725,14,false
2026-06-22,S. Gueymard Wayenburg vs G. Ghetu,Targu Mures,7:5,10,7.6,16.5,3.4224890829694323,1.158930550290968,14,false
2026-05-18,S. Kopp vs M. Alcala Gurri,Cervia (Italy) - Qualification,1:6,6,6.55,15,2.5906394199077125,1.2442645748400558,14,false
2026-04-20,L. Draxl vs P. Boscardin Dias,Savannah,6:7,8,8,16.5,3.2195121951219514,1.2293220424799371,14,false
2026-03-16,L. Sun vs M. Timofeeva,Miami,6:4,9,8.5,18,3.5172413793103448,1.1999851593195245,14,false
2026-07-06,D. De Jonge vs E. Hudd,Nottingham 4,7:6,5.4,8,15,2.6535626535626538,1.1179357299394288,14,false
2026-07-13,S. Napolitano vs F. Balshaw,Cordenons,6:1,5.6,7.1,13.2,2.5305303760848603,1.1812355830903076,14,false
