scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,correct_score_3_6_market,correct_score_4_6_market,correct_score_5_7_market
2026-05-12 01:45:57 UTC,2025-10-25 15:05:00 UTC,https://www.oddsportal.com/tennis/h2h/musetti-lorenzo-xtH2ODVI/zverev-alexander-dGbUhw9m/#pSGocSmB,Musetti L.,Zverev A.,ATP Vienna,0,2,"4:6, 5:7",,,,[],[],[]
2026-05-12 01:45:56 UTC,2025-05-10 17:10:00 UTC,https://www.oddsportal.com/tennis/h2h/navone-mariano-YoPUeL3o/sinner-jannik-6HdC3z4H/#06DAG2Wh,Sinner J.,Navone M.,ATP Rome 2025,2,0,"6:3, 6:4",,,,[],[],[]
2026-05-12 01:45:57 UTC,2026-04-25 11:20:00 UTC,https://www.oddsportal.com/tennis/h2h/munar-jaume-zZieQm4D/ruud-casper-zN9UpRqp/#l43utU8C,Munar J.,Ruud C.,ATP Madrid,0,2,"0:6, 1:6",,,,[],[],[]
2026-05-12 01:47:35 UTC,2017-03-09 17:00:00 UTC,https://www.oddsportal.com/tennis/h2h/draper-jack-0j2eUlMC/moutet-corentin-EXCPojim/#Aonqhgqt,Moravske Budejovice,Decin,2. Liga - Central 2016/2017,4,1,"1:1, 1:0, 2:0",,,,[],[],[]
2026-05-12 01:47:35 UTC,2025-08-19 19:00:00 UTC,https://www.oddsportal.com/tennis/h2h/alcaraz-garfia-carlos-UkhgIFEq/draper-jack-SWxNhpmK/#jupjLy3c,Pegula J./Draper J.,Raducanu E./Alcaraz C.,Mixed Doubles US Open,2,0,"4:2, 4:2",Arthur Ashe Stadium,"New York, NY",USA,[],[],[]
2026-05-12 01:47:36 UTC,2025-05-10 09:00:00 UTC,https://www.oddsportal.com/tennis/h2h/berrettini-matteo-OhwtM7N8/fearnley-jacob-pGBaKGOn/#fHpiQ1yi,Berrettini M.,Fearnley J.,ATP Rome 2025,2,0,"6:4, 7:60",,,,[],[],[]
2026-05-12 01:49:14 UTC,2025-05-10 15:20:00 UTC,https://www.oddsportal.com/tennis/h2h/auger-aliassime-felix-CzXh4LAb/seyboth-wild-thiago-pO9zJCv1/#nuX6aPDi,Auger-Aliassime F.,Seyboth Wild T.,ATP Rome 2025,,,,,,,[],[],[]
2026-05-12 01:49:13 UTC,2025-05-12 11:55:00 UTC,https://www.oddsportal.com/tennis/h2h/giron-marcos-OWOgryOk/hurkacz-hubert-zuHOBnY9/#MJImMcYQ,Giron M.,Hurkacz H.,ATP Rome 2025,1,2,"3:6, 6:1, 1:6",,,,[],[],[]
2026-05-12 01:50:51 UTC,2026-04-04 11:00:00 UTC,https://www.oddsportal.com/tennis/h2h/bublik-alexander-t0WN9vR6/ruud-casper-zN9UpRqp/#r1NuDc0s,Ruud C.,Bublik A.,Exhibition - Men UTS Championship,3,0,"15:14, 18:8, 20:4",,,,[],[],[]
2026-05-12 01:50:52 UTC,2025-05-10 12:50:00 UTC,https://www.oddsportal.com/tennis/h2h/davidovich-fokina-alejandro-0zQXLfz4/de-jong-jesper-8jStUWzB/#nysT98M6,De Jong J.,Davidovich Fokina A.,ATP Rome 2025,2,0,"6:0, 6:2",,,,[],[],[]
2026-05-12 01:51:55 UTC,2025-08-01 02:20:00 UTC,https://www.oddsportal.com/tennis/h2h/medvedev-daniil-O8qG0Nhb/popyrin-alexei-fJjLpuNq/#vqHG7A4K,Medvedev D.,Popyrin A.,ATP Toronto,1,2,"7:5, 4:6, 4:6",,,,[],[],[]
2026-05-12 01:52:30 UTC,2025-05-13 20:05:00 UTC,https://www.oddsportal.com/tennis/h2h/de-minaur-alex-EZgZ9Xfh/paul-tommy-pd3ye1BS/#l2tb7WpA,Paul T.,De Minaur A.,ATP Rome 2025,2,0,"7:5, 6:3",,,,[],[],[]
2026-05-12 01:52:31 UTC,2026-01-16 02:40:00 UTC,https://www.oddsportal.com/tennis/h2h/machac-tomas-S44E7UYr/paul-tommy-pd3ye1BS/#IknpucMF,Machac T.,Paul T.,ATP Adelaide,2,1,"2:6, 6:3, 6:3",,,,[],[],[]
2026-05-12 01:53:33 UTC,2025-05-11 18:55:00 UTC,https://www.oddsportal.com/tennis/h2h/alcaraz-garfia-carlos-UkhgIFEq/djere-laslo-4GGnypTh/#UXJXxaaT,Djere L.,Alcaraz C.,ATP Rome 2025,0,2,"62:7, 2:6",,,,[],[],[]
2026-05-12 01:54:09 UTC,2026-03-23 01:00:00 UTC,https://www.oddsportal.com/tennis/h2h/arthur-fils-IoIhUqIN/tsitsipas-stefanos-hb6oWfc6/#fZmYVPon,Fils A.,Tsitsipas S.,ATP Miami,2,0,"6:0, 6:1",,,,[],[],[]
2026-05-12 01:54:08 UTC,2025-05-10 14:05:00 UTC,https://www.oddsportal.com/tennis/h2h/cerundolo-francisco-lWQ3G6gB/jarry-nicolas-W24W9IyU/#CfIlGP1T,Cerundolo F.,Jarry N.,ATP Rome 2025,2,0,"7:64, 6:3",,,,[],[],[]
2026-05-12 01:55:10 UTC,2026-04-07 11:10:00 UTC,https://www.oddsportal.com/tennis/h2h/marozsan-fabian-I1mux0lj/mensik-jakub-UFj257G8/#2BFCs504,Mensik J.,Marozsan F.,ATP Monte Carlo,,,,,,,[],[],[]
2026-05-12 01:55:48 UTC,2025-05-09 16:45:00 UTC,https://www.oddsportal.com/tennis/h2h/darderi-luciano-jeXTxMIp/draper-jack-SWxNhpmK/#QR3b80Ik,Draper J.,Darderi L.,ATP Rome 2025,2,0,"6:1, 6:4",,,,[],[],[]
2026-05-12 01:55:49 UTC,2025-10-30 18:10:00 UTC,https://www.oddsportal.com/tennis/h2h/cerundolo-francisco-lWQ3G6gB/sinner-jannik-6HdC3z4H/#tYMHGzZ9,Cerundolo F.,Sinner J.,ATP Paris,0,2,"5:7, 1:6",,,,[],[],[]
2026-05-12 01:56:49 UTC,2025-09-26 09:25:00 UTC,https://www.oddsportal.com/tennis/h2h/berrettini-matteo-OhwtM7N8/ruud-casper-zN9UpRqp/#8GjyDgeD,Ruud C.,Berrettini M.,ATP Tokyo,2,0,"7:64, 6:2",,,,[],[],[]
2026-05-12 01:57:26 UTC,2026-04-05 09:10:00 UTC,https://www.oddsportal.com/tennis/h2h/ruud-casper-zN9UpRqp/sinner-jannik-6HdC3z4H/#6XDsPij3,Bergs Z./Sinner J.,Machac T./Ruud C.,ATP Monte Carlo Doubles,2,0,"6:4, 7:5",,,,[],[],[]
2026-05-12 01:57:28 UTC,2025-05-16 18:50:00 UTC,https://www.oddsportal.com/tennis/h2h/paul-tommy-pd3ye1BS/sinner-jannik-6HdC3z4H/#2VXzhpQr,Sinner J.,Paul T.,ATP Rome 2025,2,1,"1:6, 6:0, 6:3",,,,[],[],[]
2026-05-12 01:58:28 UTC,2025-05-11 15:15:00 UTC,https://www.oddsportal.com/tennis/h2h/khachanov-karen-4bNPtZT5/passaro-francesco-6iHVMexn/#fsK5TH7c,Passaro F.,Khachanov K.,ATP Rome 2025,0,2,"3:6, 0:6",,,,[],[],[]
2026-05-12 01:59:04 UTC,2026-02-11 01:30:00 UTC,https://www.oddsportal.com/tennis/h2h/fritz-taylor-UH09iaZ6/giron-marcos-OWOgryOk/#j1scxETh,Fritz T.,Giron M.,ATP Dallas,2,1,"6:4, 5:7, 7:61",,,,[],[],[]
2026-05-12 01:59:07 UTC,2025-05-15 11:10:00 UTC,https://www.oddsportal.com/tennis/h2h/hurkacz-hubert-zuHOBnY9/paul-tommy-pd3ye1BS/#llFvnWFj,Hurkacz H.,Paul T.,ATP Rome 2025,0,2,"64:7, 3:6",,,,[],[],[]
2026-05-12 02:00:07 UTC,2026-02-18 14:35:00 UTC,https://www.oddsportal.com/tennis/h2h/marozsan-fabian-I1mux0lj/rublev-andrey-AeAn4gP0/#MeISuJa4,Marozsan F.,Rublev A.,ATP Doha,0,2,"2:6, 4:6",,,,[],[],[]
2026-05-12 02:00:42 UTC,2026-03-12 18:10:00 UTC,https://www.oddsportal.com/tennis/h2h/arthur-fils-IoIhUqIN/zverev-alexander-dGbUhw9m/#MHkwGMvQ,Fils A.,Zverev A.,ATP Indian Wells,0,2,"2:6, 3:6",,,,[],[],[]
